season,team,name,location,conference,wins,losses,ties,pct,pf,pa,diff,home_w,home_l,away_w,away_l,conf_w,conf_l,playoff_result
55,BFB,Brood,Black Forest,NSFC,4,12,0,0.25,327,513,-186,2,6,2,6,3,9,missed
55,BAL,Hawks,Baltimore,NSFC,10,6,0,0.625,431,340,91,6,2,4,4,9,3,champion
55,AUS,Copperheads,Austin,ASFC,7,9,0,0.438,367,335,32,4,4,3,5,5,7,missed
55,NOLA,Second Line,New Orleans,ASFC,6,10,0,0.375,347,408,-61,3,5,3,5,2,10,missed
55,CTC,Crash,Cape Town,NSFC,10,6,0,0.625,410,330,80,6,2,4,4,8,4,first_round
55,YKW,Wraiths,Yellowknife,NSFC,11,5,0,0.688,448,341,107,6,2,5,3,9,3,semifinal
55,HON,Hahalua,Honolulu,ASFC,12,4,0,0.75,440,278,162,5,3,7,1,8,4,semifinal
55,AZ,Outlaws,Arizona,ASFC,15,1,0,0.938,488,312,176,8,0,7,1,11,1,runner_up
56,HON,Hahalua,Honolulu,ASFC,10,4,2,0.688,395,332,63,6,1,4,3,9,2,champion
56,AZ,Outlaws,Arizona,ASFC,7,9,0,0.438,397,353,44,4,4,3,5,7,5,first_round
56,AUS,Copperheads,Austin,ASFC,7,9,0,0.438,400,408,-8,4,4,3,5,6,6,missed
56,NOLA,Second Line,New Orleans,ASFC,6,10,0,0.375,391,393,-2,3,5,3,5,3,9,missed
56,BAL,Hawks,Baltimore,NSFC,12,4,0,0.75,466,301,165,6,2,6,2,9,3,runner_up
56,YKW,Wraiths,Yellowknife,NSFC,10,6,0,0.625,409,312,97,5,3,5,3,6,6,missed
56,OSK,Kaiju,Osaka,NSFC,5,11,0,0.313,306,425,-119,4,4,1,7,2,10,missed
56,OCO,Otters,Orange County,ASFC,7,9,0,0.438,360,421,-61,5,3,2,6,5,7,missed
56,BFB,Brood,Black Forest,NSFC,4,10,2,0.313,344,518,-174,3,3,1,7,4,7,missed
56,COL,Yeti,Colorado,NSFC,11,5,0,0.688,400,352,48,5,3,6,2,7,5,first_round
56,NYS,Silverbacks,New York,ASFC,3,13,0,0.188,355,507,-152,1,7,2,6,2,10,missed
56,SJS,Sabercats,San Jose,ASFC,10,5,1,0.656,391,337,54,6,2,4,3,9,2,semifinal
56,CTC,Crash,Cape Town,NSFC,12,3,1,0.781,429,355,74,6,2,6,1,9,2,semifinal
56,SAR,Sailfish,Sarasota,NSFC,5,11,0,0.313,382,411,-29,4,4,1,7,4,8,missed
57,NOLA,Second Line,New Orleans,ASFC,10,6,0,0.625,375,326,49,6,2,4,4,8,4,runner_up
57,AUS,Copperheads,Austin,ASFC,9,7,0,0.563,388,342,46,6,2,3,5,7,5,missed
57,COL,Yeti,Colorado,NSFC,5,11,0,0.313,405,453,-48,4,4,1,7,5,7,missed
57,YKW,Wraiths,Yellowknife,NSFC,3,13,0,0.188,337,509,-172,2,6,1,7,2,10,missed
57,AZ,Outlaws,Arizona,ASFC,7,9,0,0.438,330,333,-3,5,3,2,6,5,7,missed
57,OCO,Otters,Orange County,ASFC,11,5,0,0.688,373,318,55,7,1,4,4,7,5,semifinal
57,BAL,Hawks,Baltimore,NSFC,11,5,0,0.688,464,372,92,5,3,6,2,9,3,champion
57,CTC,Crash,Cape Town,NSFC,10,6,0,0.625,468,427,41,4,4,6,2,8,4,semifinal
57,SAR,Sailfish,Sarasota,NSFC,6,10,0,0.375,383,442,-59,5,3,1,7,4,8,missed
57,BFB,Brood,Black Forest,NSFC,9,7,0,0.563,374,320,54,6,2,3,5,8,4,first_round
57,SJS,Sabercats,San Jose,ASFC,10,6,0,0.625,441,359,82,5,3,5,3,7,5,missed
57,HON,Hahalua,Honolulu,ASFC,10,6,0,0.625,399,301,98,6,2,4,4,7,5,first_round
57,NYS,Silverbacks,New York,ASFC,2,14,0,0.125,267,530,-263,1,7,1,7,1,11,missed
57,OSK,Kaiju,Osaka,NSFC,9,7,0,0.563,424,396,28,7,1,2,6,6,6,missed
58,YKW,Wraiths,Yellowknife,NSFC,4,12,0,0.25,286,458,-172,3,5,1,7,3,9,missed
58,NYS,Silverbacks,New York,ASFC,6,10,0,0.375,396,487,-91,5,3,1,7,4,8,missed
58,COL,Yeti,Colorado,NSFC,9,7,0,0.563,409,399,10,5,3,4,4,8,4,semifinal
58,SAR,Sailfish,Sarasota,NSFC,8,8,0,0.5,386,422,-36,5,3,3,5,4,8,missed
58,HON,Hahalua,Honolulu,ASFC,11,5,0,0.688,401,333,68,6,2,5,3,7,5,champion
58,SJS,Sabercats,San Jose,ASFC,9,7,0,0.563,371,334,37,5,3,4,4,7,5,first_round
58,BFB,Brood,Black Forest,NSFC,8,8,0,0.5,400,379,21,5,3,3,5,7,5,first_round
58,OSK,Kaiju,Osaka,NSFC,8,8,0,0.5,382,343,39,2,6,6,2,6,6,missed
58,NOLA,Second Line,New Orleans,ASFC,6,10,0,0.375,298,405,-107,3,5,3,5,4,8,missed
58,OCO,Otters,Orange County,ASFC,7,9,0,0.438,348,346,2,5,3,2,6,6,6,missed
58,AUS,Copperheads,Austin,ASFC,7,9,0,0.438,354,357,-3,5,3,2,6,6,6,missed
58,AZ,Outlaws,Arizona,ASFC,11,5,0,0.688,463,372,91,7,1,4,4,8,4,semifinal
58,CTC,Crash,Cape Town,NSFC,8,8,0,0.5,425,393,32,3,5,5,3,6,6,missed
58,BAL,Hawks,Baltimore,NSFC,10,6,0,0.625,393,284,109,6,2,4,4,8,4,runner_up
59,SAR,Sailfish,Sarasota,NSFC,11,5,0,0.688,440,350,90,6,2,5,3,8,4,semifinal
59,CTC,Crash,Cape Town,NSFC,0,16,0,0.0,183,684,-501,0,8,0,8,0,12,missed
59,HON,Hahalua,Honolulu,ASFC,8,8,0,0.5,365,343,22,5,3,3,5,6,6,missed
59,AZ,Outlaws,Arizona,ASFC,13,3,0,0.813,469,371,98,5,3,8,0,9,3,champion
59,NOLA,Second Line,New Orleans,ASFC,9,7,0,0.563,395,362,33,3,5,6,2,8,4,first_round
59,YKW,Wraiths,Yellowknife,NSFC,10,6,0,0.625,411,381,30,5,3,5,3,8,4,missed
59,NYS,Silverbacks,New York,ASFC,7,9,0,0.438,392,405,-13,4,4,3,5,5,7,missed
59,OCO,Otters,Orange County,ASFC,8,8,0,0.5,429,363,66,5,3,3,5,5,7,missed
59,BFB,Brood,Black Forest,NSFC,6,10,0,0.375,429,394,35,2,6,4,4,4,8,missed
59,OSK,Kaiju,Osaka,NSFC,8,8,0,0.5,470,375,95,4,4,4,4,6,6,missed
59,SJS,Sabercats,San Jose,ASFC,1,15,0,0.063,211,524,-313,0,8,1,7,0,12,missed
59,AUS,Copperheads,Austin,ASFC,11,5,0,0.688,406,330,76,5,3,6,2,9,3,semifinal
59,COL,Yeti,Colorado,NSFC,10,6,0,0.625,497,385,112,6,2,4,4,8,4,first_round
59,BAL,Hawks,Baltimore,NSFC,10,6,0,0.625,499,329,170,7,1,3,5,8,4,runner_up
60,YKW,Wraiths,Yellowknife,NSFC,8,8,0,0.5,436,415,21,4,4,4,4,6,6,missed
60,COL,Yeti,Colorado,NSFC,9,7,0,0.563,383,347,36,6,2,3,5,8,4,missed
60,NOLA,Second Line,New Orleans,ASFC,6,10,0,0.375,350,444,-94,3,5,3,5,3,9,missed
60,HON,Hahalua,Honolulu,ASFC,10,6,0,0.625,443,307,136,4,4,6,2,8,4,semifinal
60,BAL,Hawks,Baltimore,NSFC,11,5,0,0.688,526,355,171,5,3,6,2,8,4,runner_up
60,SAR,Sailfish,Sarasota,NSFC,10,6,0,0.625,384,349,35,6,2,4,4,8,4,first_round
60,OSK,Kaiju,Osaka,NSFC,8,8,0,0.5,358,270,88,3,5,5,3,5,7,missed
60,BFB,Brood,Black Forest,NSFC,11,5,0,0.688,485,240,245,6,2,5,3,7,5,semifinal
60,AUS,Copperheads,Austin,ASFC,8,8,0,0.5,427,412,15,3,5,5,3,7,5,missed
60,AZ,Outlaws,Arizona,ASFC,8,8,0,0.5,436,368,68,4,4,4,4,7,5,missed
60,SJS,Sabercats,San Jose,ASFC,1,15,0,0.063,227,555,-328,1,7,0,8,0,12,missed
60,CTC,Crash,Cape Town,NSFC,0,16,0,0.0,87,679,-592,0,8,0,8,0,12,missed
60,NYS,Silverbacks,New York,ASFC,10,6,0,0.625,418,364,54,4,4,6,2,8,4,first_round
60,OCO,Otters,Orange County,ASFC,12,4,0,0.75,479,334,145,7,1,5,3,9,3,champion
61,SJS,Sabercats,San Jose,ASFC,1,15,0,0.063,269,546,-277,1,7,0,8,0,12,missed
61,CTC,Crash,Cape Town,NSFC,1,15,0,0.063,219,611,-392,1,7,0,8,1,11,missed
61,NOLA,Second Line,New Orleans,ASFC,6,10,0,0.375,401,419,-18,3,5,3,5,5,7,missed
61,AUS,Copperheads,Austin,ASFC,8,8,0,0.5,373,411,-38,5,3,3,5,7,5,missed
61,SAR,Sailfish,Sarasota,NSFC,9,7,0,0.563,459,278,181,5,3,4,4,5,7,missed
61,COL,Yeti,Colorado,NSFC,11,5,0,0.688,370,322,48,7,1,4,4,9,3,first_round
61,NYS,Silverbacks,New York,ASFC,8,8,0,0.5,471,379,92,5,3,3,5,6,6,missed
61,AZ,Outlaws,Arizona,ASFC,10,6,0,0.625,405,313,92,5,3,5,3,8,4,first_round
61,BFB,Brood,Black Forest,NSFC,12,4,0,0.75,339,280,59,7,1,5,3,8,4,semifinal
61,BAL,Hawks,Baltimore,NSFC,12,4,0,0.75,381,316,65,7,1,5,3,8,4,champion
61,YKW,Wraiths,Yellowknife,NSFC,6,10,0,0.375,379,379,0,4,4,2,6,4,8,missed
61,OSK,Kaiju,Osaka,NSFC,9,7,0,0.563,503,400,103,6,2,3,5,7,5,missed
61,HON,Hahalua,Honolulu,ASFC,11,5,0,0.688,384,308,76,6,2,5,3,9,3,semifinal
61,OCO,Otters,Orange County,ASFC,8,8,0,0.5,356,347,9,6,2,2,6,7,5,runner_up
62,BFB,Brood,Black Forest,NSFC,6,10,0,0.375,367,484,-117,2,6,4,4,6,6,missed
62,BAL,Hawks,Baltimore,NSFC,14,2,0,0.875,471,299,172,6,2,8,0,10,2,champion
62,CTC,Crash,Cape Town,NSFC,7,9,0,0.438,414,487,-73,4,4,3,5,5,7,missed
62,SJS,Sabercats,San Jose,ASFC,4,12,0,0.25,341,441,-100,1,7,3,5,4,8,missed
62,YKW,Wraiths,Yellowknife,NSFC,8,8,0,0.5,458,413,45,4,4,4,4,4,8,missed
62,SAR,Sailfish,Sarasota,NSFC,8,8,0,0.5,443,414,29,5,3,3,5,5,7,missed
62,OCO,Otters,Orange County,ASFC,2,14,0,0.125,235,583,-348,1,7,1,7,1,11,missed
62,AUS,Copperheads,Austin,ASFC,5,11,0,0.313,349,446,-97,2,6,3,5,3,9,missed
62,COL,Yeti,Colorado,NSFC,9,7,0,0.563,496,448,48,5,3,4,4,6,6,semifinal
62,OSK,Kaiju,Osaka,NSFC,8,8,0,0.5,462,415,47,4,4,4,4,6,6,first_round
62,AZ,Outlaws,Arizona,ASFC,8,8,0,0.5,406,330,76,4,4,4,4,7,5,missed
62,HON,Hahalua,Honolulu,ASFC,12,4,0,0.75,507,322,185,7,1,5,3,11,1,runner_up
62,NYS,Silverbacks,New York,ASFC,11,5,0,0.688,451,358,93,6,2,5,3,8,4,first_round
62,NOLA,Second Line,New Orleans,ASFC,10,6,0,0.625,396,356,40,5,3,5,3,8,4,semifinal
